"Series Description","Market yield on U.S. Treasury securities at 1-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis"
"Unit:","Percent:_Per_Year","Percent:_Per_Year"
"Multiplier:","1","1"
"Currency:","NA","NA"
"Unique Identifier: ","H15/H15/RIFLGFCY01_N.M","H15/H15/RIFLGFCY10_N.M"
"Time Period","RIFLGFCY01_N.M","RIFLGFCY10_N.M"
1953-04,2.36,2.83
1953-05,2.48,3.05
1953-06,2.45,3.11
1953-07,2.38,2.93
1953-08,2.28,2.95
1953-09,2.20,2.87
1953-10,1.79,2.66
1953-11,1.67,2.68
1953-12,1.66,2.59
1954-01,1.41,2.48
1954-02,1.14,2.47
1954-03,1.13,2.37
1954-04,0.96,2.29
1954-05,0.85,2.37
1954-06,0.82,2.38
1954-07,0.84,2.30
1954-08,0.88,2.36
1954-09,1.03,2.38
1954-10,1.17,2.43
1954-11,1.14,2.48
1954-12,1.21,2.51
1955-01,1.39,2.61
1955-02,1.57,2.65
1955-03,1.59,2.68
1955-04,1.75,2.75
1955-05,1.90,2.76
1955-06,1.91,2.78
1955-07,2.02,2.90
1955-08,2.37,2.97
1955-09,2.36,2.97
1955-10,2.39,2.88
1955-11,2.48,2.89
1955-12,2.73,2.96
1956-01,2.58,2.90
1956-02,2.49,2.84
1956-03,2.61,2.96
1956-04,2.92,3.18
1956-05,2.94,3.07
1956-06,2.74,3.00
1956-07,2.76,3.11
1956-08,3.10,3.33
1956-09,3.35,3.38
1956-10,3.28,3.34
1956-11,3.44,3.49
1956-12,3.68,3.59
1957-01,3.37,3.46
1957-02,3.38,3.34
1957-03,3.42,3.41
1957-04,3.49,3.48
1957-05,3.48,3.60
1957-06,3.65,3.80
1957-07,3.81,3.93
1957-08,4.01,3.93
1957-09,4.07,3.92
1957-10,4.01,3.97
1957-11,3.57,3.72
1957-12,3.18,3.21
1958-01,2.65,3.09
1958-02,1.99,3.05
1958-03,1.84,2.98
1958-04,1.45,2.88
1958-05,1.37,2.92
1958-06,1.23,2.97
1958-07,1.61,3.20
1958-08,2.50,3.54
1958-09,3.05,3.76
1958-10,3.19,3.80
1958-11,3.10,3.74
1958-12,3.29,3.86
1959-01,3.36,4.02
1959-02,3.54,3.96
1959-03,3.61,3.99
1959-04,3.72,4.12
1959-05,3.96,4.31
1959-06,4.07,4.34
1959-07,4.39,4.40
1959-08,4.42,4.43
1959-09,5.00,4.68
1959-10,4.80,4.53
1959-11,4.81,4.53
1959-12,5.14,4.69
1960-01,5.03,4.72
1960-02,4.66,4.49
1960-03,4.02,4.25
1960-04,4.04,4.28
1960-05,4.21,4.35
1960-06,3.36,4.15
1960-07,3.20,3.90
1960-08,2.95,3.80
1960-09,3.07,3.80
1960-10,3.04,3.89
1960-11,3.08,3.93
1960-12,2.86,3.84
1961-01,2.81,3.84
1961-02,2.93,3.78
1961-03,2.88,3.74
1961-04,2.88,3.78
1961-05,2.87,3.71
1961-06,3.06,3.88
1961-07,2.92,3.92
1961-08,3.06,4.04
1961-09,3.06,3.98
1961-10,3.05,3.92
1961-11,3.07,3.94
1961-12,3.18,4.06
